folder,file,path,lon,lat,alt,dt
109MEDIA,DJI_0039.JPG,D:\drone\DCIM\109MEDIA\DJI_0039.JPG,-49.347602944444446,-27.3958025,564.059,2026:03:01 15:39:58
109MEDIA,DJI_0040.JPG,D:\drone\DCIM\109MEDIA\DJI_0040.JPG,-49.34765408333334,-27.39588125,564.059,2026:03:01 15:40:00
109MEDIA,DJI_0041.JPG,D:\drone\DCIM\109MEDIA\DJI_0041.JPG,-49.34770466666667,-27.39596111111111,564.059,2026:03:01 15:40:02
109MEDIA,DJI_0042.JPG,D:\drone\DCIM\109MEDIA\DJI_0042.JPG,-49.347756805555555,-27.396038833333332,564.059,2026:03:01 15:40:04
109MEDIA,DJI_0043.JPG,D:\drone\DCIM\109MEDIA\DJI_0043.JPG,-49.34780991666667,-27.396116,564.059,2026:03:01 15:40:06
109MEDIA,DJI_0044.JPG,D:\drone\DCIM\109MEDIA\DJI_0044.JPG,-49.34786127777778,-27.396194166666668,564.059,2026:03:01 15:40:08
109MEDIA,DJI_0045.JPG,D:\drone\DCIM\109MEDIA\DJI_0045.JPG,-49.34790777777778,-27.396274777777776,564.159,2026:03:01 15:40:10
109MEDIA,DJI_0046.JPG,D:\drone\DCIM\109MEDIA\DJI_0046.JPG,-49.34791655555556,-27.39636238888889,564.159,2026:03:01 15:40:12
109MEDIA,DJI_0047.JPG,D:\drone\DCIM\109MEDIA\DJI_0047.JPG,-49.34787011111111,-27.396435277777776,564.059,2026:03:01 15:40:14
109MEDIA,DJI_0048.JPG,D:\drone\DCIM\109MEDIA\DJI_0048.JPG,-49.34778488888889,-27.39646463888889,564.059,2026:03:01 15:40:16
109MEDIA,DJI_0049.JPG,D:\drone\DCIM\109MEDIA\DJI_0049.JPG,-49.347720888888894,-27.396422555555556,563.959,2026:03:01 15:40:18
109MEDIA,DJI_0050.JPG,D:\drone\DCIM\109MEDIA\DJI_0050.JPG,-49.34769391666667,-27.396345416666666,563.959,2026:03:01 15:40:20
109MEDIA,DJI_0051.JPG,D:\drone\DCIM\109MEDIA\DJI_0051.JPG,-49.347666583333336,-27.39626513888889,563.859,2026:03:01 15:40:22
109MEDIA,DJI_0052.JPG,D:\drone\DCIM\109MEDIA\DJI_0052.JPG,-49.34763733333334,-27.396182666666665,563.859,2026:03:01 15:40:24
109MEDIA,DJI_0053.JPG,D:\drone\DCIM\109MEDIA\DJI_0053.JPG,-49.34760630555556,-27.39610125,563.859,2026:03:01 15:40:26
109MEDIA,DJI_0054.JPG,D:\drone\DCIM\109MEDIA\DJI_0054.JPG,-49.3475685,-27.3960225,563.859,2026:03:01 15:40:28
109MEDIA,DJI_0055.JPG,D:\drone\DCIM\109MEDIA\DJI_0055.JPG,-49.347529333333334,-27.395943194444445,563.959,2026:03:01 15:40:30
109MEDIA,DJI_0056.JPG,D:\drone\DCIM\109MEDIA\DJI_0056.JPG,-49.34748758333333,-27.39586163888889,563.959,2026:03:01 15:40:32
109MEDIA,DJI_0057.JPG,D:\drone\DCIM\109MEDIA\DJI_0057.JPG,-49.34744588888889,-27.395780666666667,563.959,2026:03:01 15:40:34
109MEDIA,DJI_0058.JPG,D:\drone\DCIM\109MEDIA\DJI_0058.JPG,-49.347404833333336,-27.395697972222223,563.959,2026:03:01 15:40:36
109MEDIA,DJI_0059.JPG,D:\drone\DCIM\109MEDIA\DJI_0059.JPG,-49.347364750000004,-27.39561547222222,563.959,2026:03:01 15:40:38
